0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.452520 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.437565 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.422488 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.407294 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.391985 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.376568 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.361045 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.345422 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.329703 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.313891 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.297992 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.282010 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.265949 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.249814 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.233610 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.217340 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.201010 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.184623 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.168185 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.151700 1.000000 0.000000 | 
